국가코드,발명의 명칭,청구항1,출원번호,출원일,출원인,청구항 키
KR,고강도 강판 및 그 제조 방법,"질량% 로, C : 0.12 % 이상 0.50 % 이하, Si : 2.0 % 이하, Mn : 1.0 % 이상 5.0 % 이하, P : 0.1 % 이하, S : 0.07 % 이하, Al : 1.0 % 이하 및 N : 0.008 % 이하 를 함유하고, 잔부는 Fe 및 불가피적 불순물의 조성으로 되고, 강 조직으로서 면적률로, 오토템퍼드 마르텐사이트를 80 % 이상 가짐과 함께, 페라이트가 5 % 미만, 베이나이트가 10 % 이하, 잔류 오스테나이트가 5 % 이하를 만족하고, 그 오토템퍼드 마르텐사이트 중에 있어서의 5 ㎚ 이상 0.5 ㎛ 이하의 철계 탄화물의 평균 석출 개수가 1 ㎟ 당 5×104 개 이상이며, 또한 인장 강도가 1400 ㎫ 이상인 것을 특징으로 하는 고강도 강판.",10-2010-7017844,2009-01-29,제이에프이 스틸 가부시키가이샤,"[
    ""탄소(C): 0.12% 이상 0.50% 이하"",
    ""실리콘(Si): 2.0% 이하"",
    ""망간(Mn): 1.0% 이상 5.0% 이하"",
    ""인(P): 0.1% 이하"",
    ""황(S): 0.07% 이하"",
    ""알루미늄(Al): 1.0% 이하"",
    ""질소(N): 0.008% 이하"",
    ""잔부: Fe 및 불가피적 불순물"",
    ""오토템퍼드 마르텐사이트(면적률): 80% 이상"",
    ""페라이트(면적률): 5% 미만"",
    ""베이나이트(면적률): 10% 이하"",
    ""잔류 오스테나이트(면적률): 5% 이하"",
    ""오토템퍼드 마르텐사이트 내 철계 탄화물(5nm 이상 0.5㎛ 이하): 평균 석출 개수 1㎟당 5×10⁴개 이상"",
    ""인장강도: 1400MPa 이상"",
    ""용도: 고강도 강판""
]"
JP,고연성 다이퀜치에 의한 고강도 성형품 및 그 제조 방법,"【청구항1】 고장력 강판을 오스테나이트역에 가열하고 금형 내에서 프레스 성형 및 냉각해서 구성되는 고강도 성형품으로서, 상기고 강도 성형품의 금속 조직은 전오스테나이트 입계를 포함한 전체 영역에서 탄화물이 미세 분산된 마텐자이트 조직을 가지는 것을 특징으로 하는 고강도 성형품.",2009-131469,2009-05-29,NISSAN MOTOR CO LTD | NATIONAL INSTITUTE FOR MATERIALS SCIENCE | NETUREN CO LTD,"[
    ""소재: 고장력 강판"",
    ""가열 조건: 오스테나이트역 가열"",
    ""성형 방법: 금형 내 프레스 성형 및 냉각"",
    ""제품 형태: 고강도 성형품"",
    ""금속 조직: 전오스테나이트 입계를 포함한 전체 영역"",
    ""조직 특성: 탄화물이 미세 분산된 마르텐사이트 조직"",
    ""용도/특징: 고강도 성형품""
]"
JP,고연성 다이퀜치에 의한 고강도 성형품 및 그 제조 방법,"【청구항1】 고장력 강판을 오스테나이트역에 가열하고 금형 내에서 프레스 성형 및 냉각해서 구성되는 고강도 성형품으로서, 상기고 강도 성형품의 금속 조직은 전오스테나이트 입계를 포함한 전체 영역에서 탄화물이 미세 분산된 마텐자이트 조직을 가지는 것을 특징으로 하는 고강도 성형품.",2009-131469,2009-05-29,NISSAN MOTOR CO LTD | NATIONAL INSTITUTE FOR MATERIALS SCIENCE | NETUREN CO LTD,"[
    ""소재: 고장력 강판"",
    ""가열 조건: 오스테나이트역 가열"",
    ""성형 방법: 금형 내 프레스 성형 및 냉각"",
    ""제품 형태: 고강도 성형품"",
    ""금속 조직: 전오스테나이트 입계를 포함한 전체 영역"",
    ""조직 특성: 탄화물이 미세 분산된 마르텐사이트 조직"",
    ""용도/특징: 고강도 성형품""
]"
KR,핫스탬핑용 소재 및 그 제조방법,"본 발명의 일 측면에 의하면, 핫스탬핑 후, 인장강도가 1,680MPa 이상이고, 굽힘성이 40도(degree) 이상이며, 활성화 수소량이 0.5wppm 이하인, 핫스탬핑용 소재에 있어서, 탄소(C): 0.28~0.50wt%, 실리콘(Si): 0.15~0.70wt%, 망간(Mn): 0.5~2.0wt%, 인(P): 0.05wt% 이하, 황(S): 0.01wt% 이하, 크롬(Cr): 0.1~0.5wt%, 붕소(B): 0.001~0.005wt%, 첨가제: 0.1wt% 이하 및 나머지 철(Fe)과 기타 불가피한 불순물을 포함하는 강판 및 상기 강판 내에 분포되며, 티타늄(Ti), 니오븀(Nb) 및 바나듐(V) 중 적어도 어느 하나의 질화물 또는 탄화물을 포함하는, 미세석출물들을 포함하고, 상기 첨가제는 티타늄(Ti), 니오븀(Nb) 및 바나듐(V) 중 적어도 어느 하나를 포함하며, 상기 미세석출물들 간의 평균 거리는 0.15㎛ 이상 0.4㎛ 이하인, 핫스탬핑용 소재를 제공한다.",10-2021-0064672,2021-05-20,현대제철 주식회사,"[
  ""인장강도: 1680 MPa 이상 (핫스탬핑 후)"",
  ""굽힘성: 40도 이상"",
  ""활성화 수소량: 0.5 wppm 이하"",
  ""탄소(C): 0.28~0.50 wt%"",
  ""실리콘(Si): 0.15~0.70 wt%"",
  ""망간(Mn): 0.5~2.0 wt%"",
  ""인(P): 0.05 wt% 이하"",
  ""황(S): 0.01 wt% 이하"",
  ""크롬(Cr): 0.1~0.5 wt%"",
  ""붕소(B): 0.001~0.005 wt%"",
  ""첨가제: Ti, Nb, V 중 적어도 하나 포함, 0.1 wt% 이하"",
  ""기타 성분: 철(Fe) 및 불가피한 불순물"",
  ""기재: 강판"",
  ""미세석출물: Ti, Nb, V 중 적어도 하나의 질화물 또는 탄화물 포함"",
  ""미세석출물 평균 간격: 0.15㎛ ~ 0.4㎛"",
  ""용도: 핫스탬핑용 소재""
]"
KR,핫 스탬핑 부품,"본 발명은 인장강도가 1350Mpa 이상 1680Mpa 이하인 핫 스탬핑 부품에 있어서, 상기 핫 스탬핑 부품은 베이스 강판을 포함하고, 상기 베이스 강판은, 상기 베이스 강판 전체 중량에 대하여 탄소(C) 0.19 wt% 내지 0.30 wt%, 실리콘(Si) 0.10 wt% 내지 0.90 wt%, 망간(Mn) 0.8 wt% 내지 1.8 wt%, 인(P) 0.03 wt% 이하, 황(S) 0.015 wt% 이하, 크롬(Cr) 0.1 wt% 내지 0.6 wt%, 붕소(B) 0.001 wt% 내지 0.005 wt%, 티타늄(Ti), 니오븀(Nb) 및 바나듐(V) 중 하나 이상의 합계가 0.1wt% 이하, 잔부의 철 및 불가피한 불순물을 포함하고, 상기 핫 스탬핑 부품은 초기 오스테나이트 결정립(PAG, prior austenite grain)을 포함하는 미세조직을 구비하고, 상기 초기 오스테나이트 결정립의 평균 입경은 5㎛ 이상 35㎛ 이하인, 핫 스탬핑 부품을 개시한다.",10-2023-0163782,2023-11-22,현대제철 주식회사,"[
  ""인장강도: 1350~1680 MPa"",
  ""탄소(C): 0.19~0.30 wt%"",
  ""실리콘(Si): 0.10~0.90 wt%"",
  ""망간(Mn): 0.8~1.8 wt%"",
  ""인(P): 0.03 wt% 이하"",
  ""황(S): 0.015 wt% 이하"",
  ""크롬(Cr): 0.1~0.6 wt%"",
  ""붕소(B): 0.001~0.005 wt%"",
  ""첨가제: Ti, Nb, V 중 하나 이상, 총합 0.1 wt% 이하"",
  ""기타 성분: 철(Fe) 및 불가피한 불순물"",
  ""기재: 베이스 강판"",
  ""미세조직: 초기 오스테나이트 결정립(PAG) 포함"",
  ""PAG 평균 입경: 5~35㎛"",
  ""용도: 핫 스탬핑 부품""
][
  ""인장강도: 1350~1680 MPa"",
  ""탄소(C): 0.19~0.30 wt%"",
  ""실리콘(Si): 0.10~0.90 wt%"",
  ""망간(Mn): 0.8~1.8 wt%"",
  ""인(P): 0.03 wt% 이하"",
  ""황(S): 0.015 wt% 이하"",
  ""크롬(Cr): 0.1~0.6 wt%"",
  ""붕소(B): 0.001~0.005 wt%"",
  ""첨가제: Ti, Nb, V 중 하나 이상, 총합 0.1 wt% 이하"",
  ""기타 성분: 철(Fe) 및 불가피한 불순물"",
  ""기재: 베이스 강판"",
  ""미세조직: 초기 오스테나이트 결정립(PAG) 포함"",
  ""PAG 평균 입경: 5~35㎛"",
  ""용도: 핫 스탬핑 부품""
]"
KR,고강도 강판 및 그의 제조 방법,"성분 조성은, 질량%로, C: 0.02% 이상 0.10% 미만, Si: 0.10% 미만, Mn: 0% 초과 1.0% 미만, P: 0.10% 이하, S: 0.020% 이하, Al: 0.01% 이상 0.10% 이하, N: 0.010% 이하, Nb: 0.005% 이상 0.070% 미만을 함유하고, 잔부가 Fe 및 불가피적 불순물로 이루어지고, 강 조직은, 면적률로 페라이트: 85% 이상, 펄라이트: 0∼15%, 마르텐사이트, 잔류 오스테나이트 및 시멘타이트의 합계: 0∼3%로 이루어지고, 상기 페라이트의 평균 결정 입경이 1.0㎛ 이상 15.0㎛ 이하이고, Nb 탄화물의 입자경이 5∼50㎚이고, Nb 탄화물의 석출량이 체적률로 0.005∼0.050%이며, 0.70 이상의 고항복비를 갖는 고강도 강판.",10-2017-7027033,2016-03-18,제이에프이 스틸 가부시키가이샤,"[
    ""C: 0.12~0.17 중량%"",
    ""Si: 0.3~0.8 중량%"",
    ""Mn: 2.5~3.0 중량%"",
    ""Cr: 0.4~1.1 중량%"",
    ""Al: 0.01~0.3 중량%"",
    ""Nb: 0.01~0.03 중량%"",
    ""Ti: 0.01~0.03 중량%"",
    ""B: 0.001~0.003 중량%"",
    ""P: 0.04% 이하"",
    ""S: 0.01% 이하"",
    ""N: 0.01% 이하"",
    ""잔부: Fe 및 기타 불가피한 불순물"",
    ""관계식1: 0.20wt.% ≤ [C] + ([Si]+[Al])/5 ≤ 0.35wt.%"",
    ""미세조직: 템퍼드 마르텐사이트 50~70%(면적), 나머지 잔류 오스테나이트, 프레시 마르텐사이트, 페라이트, 베이나이트"",
    ""세멘타이트: 1~3%(면적)로 석출"",
    ""특성: 고강도 강판""
]"
KR,"고강도 강판, 고강도 용융 아연 도금 강판, 고강도 용융 알루미늄 도금 강판 및 고강도 전기 아연 도금 강판, 그리고 그것들의 제조 방법","성분 조성이, 질량% 로, C : 0.030 % 이상 0.250 % 이하, Si : 0.01 % 이상 3.00 % 이하, Mn : 2.60 % 이상 4.20 % 이하, P : 0.001 % 이상 0.100 % 이하, S : 0.0001 % 이상 0.0200 % 이하, N : 0.0005 % 이상 0.0100 % 이하 및 Ti : 0.005 % 이상 0.200 % 이하를 함유하고, 잔부가 Fe 및 불가피적 불순물로 이루어지고, 강 조직은, 면적률로, 폴리고날 페라이트가 35 % 이상 80 % 이하, 미재결정 페라이트가 5 % 이상 및 마텐자이트가 5 % 이상 25 % 이하이고, 체적률로, 잔류 오스테나이트가 8 % 이상이고, 잔부가 면적률로 10 % 이하이고, 또한, 상기 폴리고날 페라이트의 평균 결정 입경이 6 ㎛ 이하, 상기 마텐자이트의 평균 결정 입경이 3 ㎛ 이하, 상기 잔류 오스테나이트의 평균 결정 입경이 3 ㎛ 이하이고, 상기 잔류 오스테나이트 중의 Mn 량 (질량%) 을 상기 폴리고날 페라이트 중의 Mn 량 (질량%) 으로 나눈 값이 2.0 이상인 고강도 강판.",10-2017-7012595,2015-10-29,제이에프이 스틸 가부시키가이샤,"[
    ""C: 0.10~0.25 중량%"",
    ""Si: 0.01~1.5 중량%"",
    ""Mn: 1.0~4.0 중량%"",
    ""Al: 0.01~1.5 중량%"",
    ""P: 0.15% 이하"",
    ""S: 0.03% 이하"",
    ""N: 0.03% 이하"",
    ""B: 0.0005~0.005%"",
    ""잔부: Fe 및 불가피한 불순물"",
    ""미세조직: 베이나이트, 템퍼드 마르텐사이트, 프레시 마르텐사이트, 잔류 오스테나이트, 기타 조직"",
    ""관계식1: 0.03 ≤ [B]FM/[B]TM ≤ 0.55"",
    ""관계식2: V(1.2㎛, γ) / V(γ) ≥ 0.12"",
    ""관계식3: BTE = [TS]^2 × [El]^{1/2}, 3.0×10^6~6.2×10^6 (MPa^2%^{1/2})"",
    ""관계식4: BTH = [TS]^2 × [HER]^{1/2}, 6.0×10^6~11.5×10^6 (MPa^2%^{1/2})"",
    ""관계식5: IYR = 1 - [YR], 0.15~0.42"",
    ""특성: 가공성 우수, 고강도 강판""
]"
KR,고강도 강판 및 그 제조 방법,"질량% 로, C : 0.15 ∼ 0.40 %, Si : 0.5 ∼ 2.5 %, Mn : 0.5 ∼ 2.4 %, P : 0.1 % 이하, S : 0.01 % 이하, Al : 0.01 ∼ 0.5 % 및 N : 0.010 % 이하를 함유하고, 잔부가 Fe 및 불가피적 불순물로 이루어지는 성분 조성과, 강 조직 전체에 대한 면적률로, 하부 베이나이트가 40 % 이상 85 % 미만, 템퍼드 마텐자이트를 포함하는 마텐자이트가 5 % 이상 40 % 미만, 잔류 오스테나이트량이 10 % 이상 30 % 이하, 폴리고날 페라이트가 10 % 이하 (0 % 를 포함한다) 를 만족하고, 상기 잔류 오스테나이트 중의 평균 C 량이 0.60 질량% 이상인 강 조직을 갖고, 표면의 Mn 농도의 최대값과 최소값의 차인 Mn 편석값이 0.8 % 이하이고, 인장 강도가 1320 ㎫ 이상이고, 한계 굽힘 반경 (R) 과 판 두께 (t) 의 비인 R/t 가 2.0 이하이고, 인장 강도 × 전체 연신이 15000 ㎫·% 이상이고, 인장 강도 × 구멍 확장률이 50000 ㎫·% 이상인 것을 특징으로 하는 고강도 강판.",10-2018-7022649,2017-02-07,제이에프이 스틸 가부시키가이샤,"[
    ""C: 0.12~0.17 중량%"",
    ""Si: 0.3~0.8 중량%"",
    ""Mn: 2.5~3.0 중량%"",
    ""Cr: 0.4~1.1 중량%"",
    ""Al: 0.01~0.3 중량%"",
    ""Nb: 0.01~0.03 중량%"",
    ""Ti: 0.01~0.03 중량%"",
    ""B: 0.001~0.003 중량%"",
    ""P: 0.04% 이하"",
    ""S: 0.01% 이하"",
    ""N: 0.01% 이하"",
    ""잔부: Fe 및 기타 불가피한 불순물"",
    ""관계식1: 0.20wt.% ≤ [C] + ([Si]+[Al])/5 ≤ 0.35wt.%"",
    ""미세조직: 템퍼드 마르텐사이트 50~70%(면적), 나머지 잔류 오스테나이트, 프레시 마르텐사이트, 페라이트, 베이나이트"",
    ""세멘타이트: 1~3%(면적)로 석출"",
    ""특성: 고강도 강판""
]"
KR,가공성이 우수한 고강도 용융 아연 도금 강판 및 그 제조 방법,"성분 조성은, 질량% 로 C : 0.04 % 이상 0.15 % 이하, Si : 0.7 % 이상 2.3 % 이하, Mn : 0.8 % 이상 2.2 % 이하, P : 0 % 초과 0.1 % 이하, S : 0 % 초과 0.01 % 이하, Al : 0 % 초과 0.1 % 이하, N : 0 % 초과 0.008 % 이하를 함유하고, 잔부가 철 및 불가피한 불순물로 이루어지고, 조직은, 면적률로 70 % 이상의 페라이트상과 2 % 이상 10 % 이하의 베이나이트상과 2 % 이상 12 % 이하의 펄라이트상을 갖고, 체적률로 1 % 이상 8 % 이하의 잔류 오스테나이트상을 갖고, 또한 페라이트의 평균 결정 입경이 18 ㎛ 이하이고, 잔류 오스테나이트의 평균 결정 입경이 2 ㎛ 이하인 것을 특징으로 하는 가공성이 우수한 고강도 용융 아연 도금 강판.",10-2011-7020089,2010-02-19,제이에프이 스틸 가부시키가이샤,"[
    ""C: 0.10~0.25 중량%"",
    ""Si: 0.01~1.5 중량%"",
    ""Mn: 1.0~4.0 중량%"",
    ""Al: 0.01~1.5 중량%"",
    ""P: 0.15% 이하"",
    ""S: 0.03% 이하"",
    ""N: 0.03% 이하"",
    ""B: 0.0005~0.005%"",
    ""잔부: Fe 및 불가피한 불순물"",
    ""미세조직: 베이나이트, 템퍼드 마르텐사이트, 프레시 마르텐사이트, 잔류 오스테나이트, 기타 조직"",
    ""관계식1: 0.03 ≤ [B]FM/[B]TM ≤ 0.55"",
    ""관계식2: V(1.2㎛, γ) / V(γ) ≥ 0.12"",
    ""관계식3: BTE = [TS]^2 × [El]^{1/2}, 3.0×10^6~6.2×10^6 (MPa^2%^{1/2})"",
    ""관계식4: BTH = [TS]^2 × [HER]^{1/2}, 6.0×10^6~11.5×10^6 (MPa^2%^{1/2})"",
    ""관계식5: IYR = 1 - [YR], 0.15~0.42"",
    ""특성: 가공성 우수, 고강도 강판""
]"
KR,"강판, 도금 강판 및, 그들의 제조 방법","질량%로, C: 0.030% 이상 0.250% 이하, Si: 0.01% 이상 3.00% 이하, Mn: 2.60% 이상 4.20% 이하, P: 0.001% 이상 0.100% 이하, S: 0.0200% 이하, N: 0.0100% 이하 및 Ti: 0.005% 이상 0.200% 이하를 함유하고, 추가로, 질량%로, Al: 0.01% 이상 2.00% 이하, Nb: 0.005% 이상 0.200% 이하, B: 0.0003% 이상 0.0050% 이하, Ni: 0.005% 이상 1.000% 이하, Cr: 0.005% 이상 1.000% 이하, V: 0.005% 이상 0.500% 이하, Mo: 0.005% 이상 1.000% 이하, Cu: 0.005% 이상 1.000% 이하, Sn: 0.002% 이상 0.200% 이하, Sb: 0.002% 이상 0.200% 이하, Ta: 0.001% 이상 0.010% 이하, Ca: 0.0005% 이상 0.0050% 이하, Mg: 0.0005% 이상 0.0050% 이하 및 REM: 0.0005% 이상 0.0050% 이하 중으로부터 선택되는 적어도 1종의 원소를 임의로 함유하고, 잔부가 Fe 및 불가피적 불순물의 성분 조성을 갖고, 면적률로, 폴리고널 페라이트가 20% 이상 65% 이하, 미재결정 페라이트가 8% 이상 및 마르텐사이트가 5% 이상 25% 이하이고, 체적률로, 잔류 오스테나이트가 8% 이상임과 함께, 상기 폴리고널 페라이트, 상기 마르텐사이트 및 상기 잔류 오스테나이트의 결정립의 평균 애스펙트비가 각각 2.0 이상 15.0 이하인 강 조직을 갖고, 상기 폴리고널 페라이트의 평균 결정 입경이 6㎛ 이하, 상기 마르텐사이트의 평균 결정 입경이 3㎛ 이하, 상기 잔류 오스테나이트의 평균 결정 입경이 3㎛ 이하로서, 상기 잔류 오스테나이트 중의 Mn량(질량%)을 상기 폴리고널 페라이트 중의 Mn량(질량%)으로 나눈 값이 2.0 이상이고, 인장 강도(TS)가 590㎫ 이상이고, 항복비(YR)가 68% 이상이고, 상기 TS와 신장(EL)의 곱(TS×EL)이 24000㎫·% 이상인 강판.",10-2018-7033203,2017-03-08,제이에프이 스틸 가부시키가이샤,"[
    ""C: 0.12~0.17 중량%"",
    ""Si: 0.3~0.8 중량%"",
    ""Mn: 2.5~3.0 중량%"",
    ""Cr: 0.4~1.1 중량%"",
    ""Al: 0.01~0.3 중량%"",
    ""Nb: 0.01~0.03 중량%"",
    ""Ti: 0.01~0.03 중량%"",
    ""B: 0.001~0.003 중량%"",
    ""P: 0.04% 이하"",
    ""S: 0.01% 이하"",
    ""N: 0.01% 이하"",
    ""잔부: Fe 및 기타 불가피한 불순물"",
    ""관계식1: 0.20wt.% ≤ [C] + ([Si]+[Al])/5 ≤ 0.35wt.%"",
    ""미세조직: 템퍼드 마르텐사이트 50~70%(면적), 나머지 잔류 오스테나이트, 프레시 마르텐사이트, 페라이트, 베이나이트"",
    ""세멘타이트: 1~3%(면적)로 석출"",
    ""특성: 고강도 강판""
]"
